playlist_name,playlist_tvg_id,original_tvg_id,matched,source,source_channel_id,source_display_name,score,programmes,generated_playlist_id
TRT 1,TRT1.tr,TRT1.tr,yes,epgshare-tr3,TRT.1.tr,TRT 1,1.000,48,no
Kanal D,KanalD.tr,KanalD.tr,yes,epgshare-tr3,KANAL.D.HD.tr,KANAL D HD,1.000,48,no
ATV,ATV.tr,ATV.tr,yes,epgshare-tr3,ATV.HD.tr,ATV HD,1.000,41,no
NOW,NOWTV.tr,NOWTV.tr,yes,epgshare-tr3,NOW.tr,NOW,1.000,50,no
Star TV,StarTV.tr,StarTV.tr,yes,epgshare-tr3,STAR.TV.tr,STAR TV,1.000,47,no
TV8,TV8.tr,TV8.tr,yes,epgshare-tr3,TV8.HD.tr,TV8 HD,1.000,41,no
360,360.tr,360.tr,yes,epgshare-tr3,360.HD.tr,360 HD,1.000,67,no
CNBC-e,CNBCe.tr,CNBCe.tr,yes,epgshare-tr3,CNBC-e.tr,CNBC-e,1.000,140,no
Bloomberg HT,BloombergHT.tr,BloombergHT.tr,yes,epgshare-tr3,BLOOMBERG.HT.HD.tr,BLOOMBERG HT HD,1.000,117,no
A Haber,AHaber.tr,AHaber.tr,yes,epgshare-tr3,A.HABER.HD.tr,A HABER HD,1.000,106,no
TRT Haber,TRTHaber.tr,TRTHaber.tr,yes,epgshare-tr3,TRT.HABER.tr,TRT HABER,1.000,82,no
Kanal 7,Kanal7.tr,Kanal7.tr,yes,epgshare-tr3,KANAL.7.tr,KANAL 7,1.000,49,no
A2,A2.ru,A2.ru,yes,epgshare-tr3,A2.HD.tr,A2 HD,1.000,44,no
Beyaz TV,BeyazTV.tr,BeyazTV.tr,yes,epgshare-tr3,BEYAZ.TV.tr,BEYAZ TV,1.000,55,no
tv100,TV100.tr,TV100.tr,yes,epgshare-tr3,TV100.tr,TV100,1.000,43,no
Ülke TV,UlkeTV.tr,UlkeTV.tr,yes,epgshare-tr3,ÜLKE.TV.tr,ÜLKE TV,1.000,68,no
TVNET,TVNET.tr,TVNET.tr,yes,epgshare-tr3,TVNET.HD.tr,TVNET HD,1.000,146,no
24 TV,24TV.tr,24TV.tr,yes,epgshare-tr1,24.TV.tr,24 TV,1.000,63,no
NTV,NTV.tr,NTV.tr,yes,epgshare-tr3,NTV.HD.tr,NTV HD,1.000,287,no
CNN Türk,CNNTurk.tr,CNNTurk.tr,yes,epgshare-tr3,CNN.TÜRK.HD.tr,CNN TÜRK HD,1.000,67,no
A Para,APara.tr,APara.tr,yes,epgshare-tr3,A.PARA.HD.tr,A PARA HD,1.000,129,no
Habertürk,HaberturkTV.tr,HaberturkTV.tr,yes,epgshare-tr3,HABERTÜRK.HD.tr,HABERTÜRK HD,1.000,67,no
TGRT Haber,TGRTHaber.tr,TGRTHaber.tr,yes,epgshare-tr3,TGRT.HABER.HD.tr,TGRT HABER HD,1.000,137,no
Ekotürk,Ekoturk.tr,Ekoturk.tr,yes,epgshare-tr3,EKOTÜRK.tr,EKOTÜRK,1.000,123,no
Haber Global,HaberGlobal.tr,HaberGlobal.tr,yes,epgshare-tr3,HABER.GLOBAL.HD.tr,HABER GLOBAL HD,1.000,46,no
TELE1,Tele1.tr,Tele1.tr,yes,epgshare-tr3,TELE1.tr,TELE1,1.000,74,no
