playlist_position,digiturk_number,wanted_name,resolved_id,resolution,status,source,source_detail,health_status,health_detail,health_url,candidate_count,quality,label,stream_title,block_reason,official_page
1,22,Show TV,ShowTV.tr,id,added_extra_fallback_unverified,extra_streams.json,Alternative historical/public provider endpoints distinct from the Ciner URL that returned 403 on the user's TV. Include only if current health check succeeds.,unverified_fail_open,"network_[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'showtv.blutv.com'. (_ssl.c:1010)",https://showtv.blutv.com/blutv_showtv_live/live.m3u8,3,,,Show TV,,
2,23,TRT 1,TRT1.tr,id,added_iptv_org_healthy,iptv-org,TRT1.tr,pass,master_ok->hls_segment_ok:http_206,https://tv-trt1.medya.trt.com.tr/master.m3u8,1,1440p,,TRT 1,,
3,24,Kanal D,KanalD.tr,id,added_iptv_org_healthy,iptv-org,KanalD.tr,pass,master_ok->hls_segment_ok:http_206,https://demiroren.daioncdn.net/kanald/kanald.m3u8?app=kanald_web&ce=3,1,1080p,,Kanal D,,
4,25,ATV,ATV.tr,id,added_iptv_org_healthy,iptv-org,ATV.tr,pass,hls_segment_ok:http_206,https://rnttwmjcin.turknet.ercdn.net/lcpmvefbyo/atv/atv_1080p.m3u8,2,1080p,,ATV,,
5,26,NOW,NOWTV.tr,id,added_iptv_org_healthy,iptv-org,NOWTV.tr,pass,master_ok->hls_segment_ok:http_206,https://uycyyuuzyh.turknet.ercdn.net/nphindgytw/nowtv/nowtv.m3u8,2,720p,,NOW TV,,
6,27,Star TV,StarTV.tr,id,added_iptv_org_healthy,iptv-org,StarTV.tr,pass,hls_segment_ok:http_206,https://dogus.daioncdn.net/startv/startv_720p.m3u8?app=a20ac41e-bdc3-4aa1-934d-26b484480ac9&ce=3&sid=8l4w3lst4co5,1,720p,,Star TV,,
7,28,TV8,TV8.tr,id,added_iptv_org_healthy,iptv-org,TV8.tr,pass,master_ok->hls_segment_ok:http_206,https://tv8.daioncdn.net/tv8/tv8.m3u8?app=7ddc255a-ef47-4e81-ab14-c0e5f2949788&ce=3,2,1080p,,TV 8,,
8,29,360,360.tr,id,added_extra_fallback_unverified,extra_streams.json,Alternative public provider/mirror candidates. The exact Turkmedya URLs tested black on the user's TV remain deny-listed. These candidates are included only if the health check accepts them.,unverified_fail_open,"network_[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for '360tv.blutv.com'. (_ssl.c:1010)",https://360tv.blutv.com/blutv_360tv_live/live.m3u8,2,,,360,,
9,99,TLC,TLC.tr,id,added_extra_fallback_unverified,extra_streams.json,"Historical public RocketCDN TLC endpoints. The newer Dogus/Daion URL returned 403 on the user's TV, so only these distinct endpoints are tested. Health check decides inclusion.",unverified_fail_open,network_[Errno -2] Name or service not known,https://pa9agxjg.rocketcdn.com/tlctv.smil/chunklist.sltur.m3u8,3,,,TLC,dmca,https://www.tlctv.com.tr/canli-izle
10,186,DMAX,DMAX.tr,id,added_extra_fallback_unverified,extra_streams.json,"Historical public RocketCDN DMAX endpoints, distinct from the newer URL that returned 403 on the user's TV. Included only when health check succeeds.",unverified_fail_open,network_[Errno -2] Name or service not known,https://jviqfbc2.rocketcdn.com/dmax.smil/chunklist.m3u8,2,,,DMAX,dmca,https://www.dmax.com.tr/canli-izle
